id,x,y,z
191,-0.55303,-0.31096,0.16882
192,-0.31647,-0.03792,0.12183
193,-0.37734,-0.04569,0.42162
194,-0.52906,-0.06328,0.23992
195,-0.5746,-0.1878,0.35758
196,-0.59248,-0.30196,0.25011
197,-0.05027,0.03826,0.15779
198,-0.50251,-0.1339,0.441
199,-0.42152,-0.28606,0.10328
200,-0.14216,-0.07291,0.12507
201,-0.42277,-0.15574,0.18423
202,-0.24744,0.09354,0.19613
203,-0.58485,-0.19597,0.23597
204,-0.44124,-0.02668,0.16563
205,-0.06462,0.05015,0.28874
206,-0.23484,0.04486,0.10758
207,-0.54298,-0.08841,0.31803
208,-0.455,-0.11502,0.36712
209,-0.5238,-0.15311,0.16601
210,0.23879,-0.27668,-0.66894
211,-0.38951,-0.00887,-0.53514
212,0.21424,-0.07264,-0.40184
213,0.24697,-0.05834,-0.59715
214,0.02936,-0.63381,-0.05797
215,-0.36729,-0.63966,-0.15905
216,-0.15614,0.11825,-0.59461
217,0.12535,-0.64039,-0.28606
218,-0.06422,0.04691,-0.73499
219,0.28631,-0.27311,-0.57385
220,-0.26015,0.0859,-0.6196
221,-0.41579,-0.60539,-0.39611
222,0.25339,-0.34377,-0.23207
223,0.20197,-0.5823,-0.3124
224,0.2062,-0.5709,-0.40936
225,0.30483,-0.2558,-0.44224
226,0.2317,-0.48347,-0.27086
227,0.278,-0.10324,-0.50647
228,0.04179,-0.69581,-0.33698
229,0.26938,-0.17345,-0.63041
230,0.25901,-0.49105,-0.39399
231,-0.04823,0.09279,-0.53088
232,-0.03984,-0.65962,-0.15981
233,-0.40117,0.05665,-0.34468
234,-0.16689,-0.71604,-0.28605
235,0.00831,0.05673,-0.59758
236,0.15255,0.00949,-0.64937
237,0.18417,-0.02293,-0.51828
238,0.32245,-0.43105,-0.45266
239,0.20526,-0.19126,-0.48481
240,0.10525,-0.47335,-0.59584
241,-0.39375,-0.11721,-0.52046
242,0.17679,-0.36309,-0.40306
243,0.00797,-0.61156,-0.3862
244,-0.02328,-0.43372,-0.66891
245,0.051,-0.53864,-0.28592
246,0.22452,-0.50021,-0.48348
247,-0.25533,-0.14848,-0.39798
248,-0.07932,-0.08357,-0.21697
249,0.22471,-0.41832,-0.49974
250,-0.31062,-0.04663,-0.68369
251,0.17476,-0.17639,-0.64599
252,0.08516,0.01596,-0.57695
253,0.18549,-0.35615,-0.63322
254,-0.03239,-0.00777,-0.41747
255,0.10787,-0.52202,-0.40337
256,0.21711,-0.23764,-0.39895
257,-0.13833,-0.34822,-0.63611
258,0.06666,-0.02624,-0.48756
259,0.21134,-0.43974,-0.60636
260,-0.35227,-0.05422,-0.58902
261,0.08567,-0.35875,-0.30826
262,-0.13834,-0.05338,-0.68974
263,-0.06888,-0.68333,-0.27301
264,0.05111,-0.17894,-0.72347
265,0.30029,-0.19279,-0.51948
266,-0.10304,-0.10465,-0.74582
267,-0.29704,-0.00495,-0.5429
268,0.14499,-0.11413,-0.52186
269,0.11084,-0.30911,-0.66725
270,-0.23145,-0.40484,-0.29282
271,-0.50028,-0.28021,-0.47656
272,0.13771,-0.24924,-0.57327
273,-0.01844,-0.13939,-0.39496
274,-0.21248,-0.11852,-0.68662
275,-0.05063,-0.23562,-0.6823
276,-0.02962,-0.08106,-0.68051
277,-0.13903,-0.28314,-0.71868
278,-0.01545,-0.62026,-0.5204
279,0.03601,-0.3556,-0.70409
280,-0.47718,-0.36532,-0.40395
281,-0.30098,-0.61867,-0.37631
282,-0.08823,-0.25583,-0.40093
283,0.00629,-0.26359,-0.74354
284,0.04802,-0.25853,-0.31937
285,-0.13801,-0.39615,-0.70307
286,-0.35303,-0.27332,-0.47666
287,-0.35893,-0.39032,-0.46859
288,-0.10548,-0.49012,-0.65751
289,0.00354,-0.10486,-0.56146
290,-0.17796,-0.50036,-0.24183
291,0.04662,-0.21725,-0.62053
292,0.01473,-0.5323,-0.49973
293,-0.18692,-0.20421,-0.73585
294,-0.14529,-0.06224,-0.52165
295,-0.05275,-0.66251,-0.42883
296,-0.22694,-0.31705,-0.72747
297,-0.46418,-0.48169,-0.35721
298,0.10417,-0.38722,-0.55925
299,-0.0545,-0.35238,-0.74015
300,-0.29037,-0.18772,-0.71452
301,-0.04407,0.00228,-0.63076
302,0.04628,0.01826,-0.69676
303,0.09026,-0.43217,-0.67816
304,0.28296,-0.36292,-0.57023
305,0.05764,-0.08931,-0.73629
306,0.28131,-0.34707,-0.37421
307,-0.21179,0.01603,-0.53652
308,0.07852,-0.09374,-0.58251
309,0.10142,-0.62714,-0.35865
310,0.12848,-0.58294,-0.48005
311,0.14454,-0.09358,-0.65569
312,0.16195,-0.45168,-0.37665
313,-0.12607,0.04285,-0.622
314,-0.20731,0.01093,-0.68535
315,0.29321,-0.33841,-0.4796
316,-0.28525,0.01387,-0.39196
317,-0.245,-0.04733,-0.613
318,0.01643,-0.53733,-0.62378
319,0.06501,-0.64158,-0.46217
320,0.13982,-0.15937,-0.41553
321,-0.07965,-0.18533,-0.7419
322,0.17203,-0.52075,-0.5465
323,0.16999,-0.31101,-0.48894
324,-0.05553,0.01118,-0.50062
325,-0.10797,-0.69723,-0.34934
326,-0.29809,-0.12834,-0.62977
327,0.07935,-0.55353,-0.55044
328,-0.4514,-0.18889,-0.30625
329,0.14954,-0.22849,-0.746
330,-0.03118,0.1704,0.71807
331,-0.16862,-0.13872,0.7613
332,0.01257,0.09839,0.78268
333,0.40233,-0.03869,0.65004
334,-0.12447,0.35952,0.69787
335,0.2757,0.00201,0.72947
336,-0.17584,-0.01172,0.79932
337,0.33879,-0.1099,0.70492
338,-0.06273,-0.03768,0.80645
339,0.15061,0.24673,0.68028
340,0.27384,-0.02203,0.64159
341,-0.03185,-0.16562,0.76967
342,0.10126,0.16693,0.75489
343,0.08177,0.1409,0.64317
344,-0.15849,0.2482,0.73948
345,0.09892,-0.18474,0.77193
346,0.33361,0.07587,0.65134
347,0.11927,0.0302,0.70973
348,-0.01236,0.24747,0.6262
349,0.21597,0.12662,0.74889
350,0.02792,0.29225,0.72701
351,0.25404,-0.17468,0.73855
352,0.02905,0.00289,0.7952
353,-0.10043,0.17617,0.78649
354,-0.1045,0.06319,0.79019
355,0.27374,0.18078,0.68321
356,0.1705,0.00864,0.77738
357,0.07102,-0.08379,0.79833
358,0.21978,0.15061,0.60002
359,0.1778,-0.09257,0.74022
360,0.58979,-0.3375,0.07416
361,0.50992,-0.48484,0.08491
362,0.55801,-0.36982,-0.22118
363,0.33963,-0.52405,0.41746
364,0.41442,-0.36426,0.32703
365,0.40897,-0.19031,0.33352
366,0.6105,-0.35547,-0.01918
367,0.50831,-0.15585,-0.04769
368,0.53425,-0.54513,0.12283
369,0.48008,-0.36293,0.25223
370,0.47803,-0.45183,0.00656
371,0.59008,-0.44261,-0.16443
372,0.39526,-0.53769,0.34182
373,0.29741,-0.47063,0.50602
374,0.5414,-0.24764,-0.14951
375,0.56223,-0.41221,0.13647
376,0.3719,-0.39332,0.4404
377,0.49355,-0.44691,0.27725
378,0.46731,-0.62414,-0.01282
379,0.44476,-0.56844,0.20464
380,0.32496,-0.61595,0.33639
381,0.57645,-0.2477,0.15807
382,0.41394,-0.51088,0.26842
383,0.53777,-0.15462,-0.18449
384,0.43433,-0.44837,0.36939
385,0.5455,-0.05487,-0.20804
386,0.35432,-0.62896,0.25002
387,0.61427,-0.16106,-0.13979
388,0.57589,-0.32221,-0.13733
389,0.57311,-0.49252,-0.02964
390,0.05974,0.88351,0.41996
391,0.32223,0.71787,0.53366
392,0.17414,0.64113,0.63875
393,-0.02157,0.69041,0.59812
394,0.11977,0.71965,0.43868
395,0.20313,0.79354,0.42338
396,0.09812,0.8398,0.50035
397,0.26046,0.77367,0.52257
398,0.18153,0.81981,0.51183
399,-0.07623,0.85286,0.39275
400,0.08132,0.67774,0.62573
401,0.14802,0.66076,0.54734
402,0.3717,0.64028,0.53844
403,0.04166,0.71139,0.50687
404,0.25228,0.68269,0.59947
405,0.00089,0.7826,0.54597
406,0.0756,0.77234,0.36779
407,-0.07767,0.81342,0.46808
408,-0.02674,0.74917,0.39893
409,0.22185,0.68651,0.47029
410,0.26179,0.60205,0.6308
411,0.28619,0.63913,0.52495
412,0.00637,0.84662,0.46874
413,0.15303,0.86505,0.38864
414,-0.07618,0.73733,0.51871
415,0.17927,0.74351,0.59602
416,-0.15708,0.76357,0.46153
417,0.08839,0.75821,0.58659
418,-0.15848,0.80397,0.38901
419,0.34525,0.5885,0.59621
420,0.65966,0.02544,0.06791
421,-0.44079,0.67311,0.06423
422,-0.38145,0.59995,0.43857
423,0.69244,0.08865,0.26633
424,0.70862,0.16712,0.42494
425,0.53269,-0.1076,0.5134
426,0.30438,0.13675,0.36117
427,-0.44557,0.53316,0.23726
428,0.42022,0.09117,-0.25884
429,0.3214,-0.17972,0.58621
430,-0.07919,0.28177,0.43626
431,-0.57968,0.36502,0.18923
432,-0.55415,0.48726,0.1732
433,-0.39102,0.36391,0.26424
434,0.44666,-0.16874,0.58426
435,0.63398,0.44597,0.50833
436,0.61917,0.20662,0.54953
437,0.5074,0.13758,0.61406
438,0.63096,-0.08461,0.42025
439,-0.2211,0.77131,-0.28437
440,-0.53186,0.4518,0.0099
441,-0.56303,0.4108,0.3635
442,0.47372,0.02028,0.55619
443,-0.59832,0.13705,0.39669
444,0.19127,-0.23897,0.66677
445,0.41258,-0.00845,0.43021
446,0.64581,-0.03493,0.30387
447,0.54855,0.07845,-0.13123
448,0.34019,0.09316,-0.16095
449,0.59384,0.02879,0.49925
450,-0.41782,0.46981,0.09281
451,-0.53488,0.23624,0.23562
452,-0.44836,0.28612,0.09701
453,0.41572,0.22752,0.60973
454,0.19494,-0.65971,0.05041
455,-0.26471,0.29206,0.03298
456,-0.61167,0.23996,0.08782
457,0.51951,0.0941,0.39481
458,0.32159,0.04046,-0.01386
459,-0.1951,0.26449,-0.19709
460,-0.66134,0.12817,0.03614
461,-0.53212,0.24783,0.03164
462,0.1236,0.2118,0.42277
463,-0.38725,0.16553,0.01936
464,0.23095,0.12735,0.14341
465,-0.291,0.32358,0.157
466,-0.48916,0.21241,-0.05414
467,-0.4907,0.27141,-0.20849
468,-0.65005,0.03232,0.24752
469,-0.61813,0.16391,0.27251
470,-0.42899,0.56403,-0.05728
471,0.28472,-0.53961,-0.00492
472,0.4581,0.07106,0.27581
473,-0.61298,0.15059,0.17655
474,0.43232,0.08875,0.09346
475,-0.69616,-0.19728,0.09745
476,0.21009,0.19615,-0.24681
477,-0.48564,0.39823,0.30199
478,-0.31781,0.33422,-0.23371
479,-0.67327,-0.00233,0.13944
480,-0.67645,-0.25197,-0.04174
481,-0.62344,-0.30448,0.02177
482,-0.49686,0.0931,0.01156
483,0.23131,-0.00214,-0.11276
484,-0.62817,-0.04579,-0.00134
485,-0.6154,0.04613,0.07338
486,-0.63458,0.00967,-0.18386
487,-0.14345,0.30528,-0.3057
488,-0.27312,0.19113,-0.07607
489,-0.17453,0.32199,-0.12268
490,-0.61475,0.17456,-0.05606
491,-0.63205,-0.42204,0.1007
492,-0.61921,0.09272,-0.12501
493,-0.37077,0.35091,-0.09943
494,0.27183,-0.30342,-0.06354
495,-0.37941,0.25454,-0.04274
496,0.06135,0.15814,0.04189
497,-0.69199,-0.07924,-0.0365
498,-0.53646,0.15144,-0.29286
499,0.11124,0.10669,-0.08684
500,-0.40848,0.24415,-0.16257
501,0.37346,0.15062,0.46784
502,-0.58546,0.21534,-0.15572
503,0.01054,0.14563,-0.15967
504,-0.6322,-0.41178,-0.02286
505,-0.67374,-0.09243,0.08414
506,-0.56338,-0.18153,-0.07129
507,-0.15446,0.15996,-0.05963
508,-0.11958,0.24757,0.0221
509,-0.65089,0.02619,-0.0651
510,-0.50263,0.16926,-0.15862
511,-0.00552,0.17543,-0.27713
512,-0.65578,-0.3174,-0.11419
513,-0.62767,-0.11421,-0.2944
514,-0.63424,-0.09546,-0.12982
515,-0.37094,0.03822,-0.1347
516,-0.57307,-0.35353,-0.05353
517,-0.58478,-0.1665,-0.24431
518,0.09645,0.054,-0.22827
519,-0.41938,0.03224,-0.25634
520,-0.20499,0.21486,-0.35982
521,-0.09501,0.15199,-0.35453
522,-0.52452,0.01793,-0.12497
523,0.10526,-0.03856,-0.14323
524,-0.0254,0.05701,-0.08011
525,-0.55883,-0.47851,-0.06095
526,-0.09557,-0.71665,-0.0369
527,-0.29746,0.23575,-0.17917
528,-0.66619,-0.1642,0.01115
529,-0.19067,0.05955,-0.16798
530,-0.51925,-0.03053,-0.02513
531,-0.52302,0.0445,-0.25852
532,-0.3712,0.17085,-0.36438
533,-0.30566,0.22049,-0.30796
534,-0.62336,-0.23709,-0.20425
535,-0.55675,-0.0701,-0.35929
536,-0.31782,-0.66021,-0.00568
537,-0.43155,0.20655,-0.29739
538,-0.07963,0.19603,-0.13984
539,-0.6797,-0.17897,-0.12353
540,-0.46865,-0.56942,-0.07117
541,-0.25301,-0.68208,-0.13962
542,-0.56397,-0.20879,-0.40232
543,-0.13739,-0.71877,-0.16647
544,0.11412,-0.15787,-0.14833
545,-0.55293,-0.42684,-0.25967
546,-0.26411,-0.02923,-0.27299
547,-0.56827,-0.03884,-0.2731
548,-0.46288,-0.10843,-0.22478
549,0.14683,-0.54109,-0.18916
550,-0.52165,0.01022,-0.38381
551,0.06942,-0.25458,-0.21584
552,0.06417,-0.61458,-0.16055
553,-0.0796,-0.5884,-0.14274
554,-0.37258,0.09952,-0.4187
555,0.08182,-0.48622,-0.13923
556,-0.57889,-0.29853,-0.32637
557,-0.44925,0.00853,-0.43494
558,-0.24885,0.12473,-0.429
559,-0.39009,-0.61701,-0.07036
560,-0.53525,-0.40044,-0.16479
561,-0.52189,-0.51466,-0.24002
562,0.0962,-0.0717,-0.26487
563,-0.52123,-0.53966,-0.149
564,0.19565,-0.194,-0.21395
565,-0.17066,-0.6548,-0.07596
566,-0.59136,-0.31646,-0.22288
567,-0.24363,0.09602,-0.28675
568,0.18429,-0.28161,-0.15941
569,-0.48016,-0.25173,-0.23884
570,-0.28695,-0.6768,-0.21531
571,-0.46747,-0.10442,-0.48773
572,0.14898,-0.40637,-0.23135
573,-0.15076,-0.01877,-0.30974
574,-0.17766,-0.63778,-0.18354
575,-0.39145,-0.42571,-0.39685
576,-0.36004,-0.32202,-0.31286
577,-0.26479,-0.56198,-0.30785
578,0.00379,-0.63922,-0.27814
579,-0.35721,-0.09374,-0.31964
580,-0.21738,-0.05446,-0.41122
581,0.18652,-0.13114,-0.2766
582,-0.42758,-0.56036,-0.26158
583,0.03603,-0.12324,-0.32768
584,-0.49915,-0.13386,-0.41931
585,-0.39843,-0.52327,-0.32736
586,-0.40673,-0.21217,-0.36599
587,-0.1687,0.0453,-0.44678
588,0.09045,-0.01632,-0.36785
589,0.01113,0.02618,-0.32652
590,-0.51722,-0.27376,-0.35679
591,-0.26145,-0.66944,-0.30656
592,-0.09189,0.05119,-0.36697
593,-0.38445,-0.06343,-0.40424
594,-0.53067,-0.42112,-0.3788
595,0.06524,-0.45387,-0.23413
596,-0.1557,-0.61407,-0.2801
597,-0.36631,-0.63422,-0.26955
598,-0.01141,-0.56832,-0.20207
599,-0.36963,-0.53334,-0.21643
600,-0.07718,-0.26719,-0.56764
601,-0.27046,-0.39391,-0.64716
602,-0.33285,-0.56039,-0.47446
603,0.01191,-0.47505,-0.40745
604,-0.20449,-0.45299,-0.65158
605,-0.1941,-0.61198,-0.52333
606,-0.43322,-0.17337,-0.58189
607,-0.07845,-0.57586,-0.3692
608,-0.09325,-0.47466,-0.4
609,-0.02219,-0.47847,-0.58362
610,-0.37137,-0.49928,-0.53107
611,0.0556,-0.38399,-0.44883
612,-0.16606,-0.45707,-0.55392
613,-0.36627,-0.16656,-0.61953
614,-0.45721,-0.34993,-0.48156
615,-0.46452,-0.20518,-0.49395
616,-0.08785,-0.37157,-0.45908
617,0.02371,-0.31446,-0.56753
618,-0.40147,-0.26399,-0.59474
619,-0.2848,-0.241,-0.56075
620,-0.12269,-0.18354,-0.19945
621,-0.28971,-0.16293,-0.16362
622,-0.01478,-0.41767,-0.11847
623,-0.27348,-0.29657,-0.17935
624,-0.02125,-0.28621,-0.13997
625,-0.18539,-0.22688,-0.1484
626,-0.44061,-0.48455,-0.09854
627,-0.10062,-0.34504,-0.23232
628,-0.38314,-0.39586,-0.12468
629,-0.10632,-0.46,-0.14313
630,-0.4114,-0.42905,-0.22571
631,-0.19818,-0.52966,-0.10849
632,-0.14174,-0.33374,-0.09575
633,-0.37548,-0.23901,-0.18322
634,-0.34657,-0.53463,-0.08961
635,-0.28019,-0.59558,-0.10528
636,-0.49701,-0.37072,-0.24341
637,-0.30982,-0.46057,-0.12632
638,-0.23401,-0.4166,-0.10205
639,-0.43362,-0.32639,-0.15446
640,-0.29041,0.33214,0.58257
641,-0.38722,0.11243,0.6793
642,-0.53635,0.18719,0.52936
643,-0.40589,0.27653,0.58313
644,-0.47062,0.19423,0.59473
645,-0.36706,0.1843,0.6105
646,-0.54219,0.28652,0.45018
647,-0.30426,0.2493,0.64646
648,-0.17159,0.29736,0.55925
649,-0.46642,0.27748,0.4997
650,-0.44982,0.37163,0.44451
651,-0.27573,0.03896,0.74438
652,-0.37892,0.33596,0.51504
653,-0.29094,0.16447,0.70649
654,-0.36128,0.03203,0.70794
655,-0.25291,0.34906,0.48318
656,-0.19836,0.21462,0.61976
657,-0.20552,0.10412,0.69378
658,-0.34018,0.37968,0.4307
659,-0.4789,0.09927,0.62858
660,-0.15701,0.93135,0.08671
661,-0.20338,0.87443,0.17564
662,-0.10872,0.86033,-0.08608
663,0.03932,0.85356,0.27392
664,-0.03794,0.92376,0.3207
665,-0.07211,0.81356,0.263
666,-0.08242,0.93618,0.04154
667,-0.18695,0.87984,0.0132
668,-0.01795,0.85058,0.18262
669,-0.09463,0.91235,0.25846
670,-0.02464,0.96128,0.21403
671,-0.08737,0.82418,0.09223
672,-0.18617,0.84902,0.09137
673,-0.14271,0.93762,0.18076
674,-0.11384,0.91552,-0.03238
675,-0.05797,0.93991,0.1287
676,-0.13735,0.81793,0.19495
677,0.05817,0.93592,0.29643
678,-0.12181,0.83413,-0.00899
679,-0.17028,0.86856,0.2716
680,0.10548,0.86058,-0.18642
681,0.21438,0.8818,-0.272
682,0.20733,0.8124,-0.28292
683,0.20135,0.93309,-0.20617
684,0.15914,0.80672,-0.2164
685,0.20569,0.9869,0.09948
686,0.13276,0.93839,-0.18316
687,0.19113,0.99974,-0.05426
688,0.19373,0.89669,0.11925
689,0.19453,1.0,0.0258
690,0.18251,0.97721,-0.13203
691,0.14114,0.82187,-0.11262
692,0.15685,0.85156,0.02943
693,0.23114,0.95164,0.15679
694,0.12518,0.96593,-0.01135
695,0.11485,0.96111,-0.08935
696,0.12606,0.87939,-0.0435
697,0.09795,0.89648,-0.12133
698,0.15246,0.93871,0.05868
699,0.14837,0.87459,-0.24594
700,0.37237,0.78537,-0.22318
701,0.5015,0.74858,-0.26552
702,0.39195,0.94903,-0.04775
703,0.37139,0.90709,-0.17285
704,0.44451,0.91094,-0.18247
705,0.35107,0.91536,-0.01421
706,0.42636,0.81539,-0.25575
707,0.32111,0.84519,-0.0344
708,0.33965,0.85645,-0.1087
709,0.39699,0.71622,-0.20647
710,0.42353,0.75213,-0.26197
711,0.36485,0.9212,-0.1006
712,0.48763,0.80741,-0.25222
713,0.34523,0.82895,-0.17464
714,0.34574,0.7497,-0.16198
715,0.46786,0.8638,-0.22329
716,0.33703,0.77362,-0.08694
717,0.46769,0.70148,-0.24128
718,0.42814,0.9361,-0.11828
719,0.39501,0.86238,-0.2221
720,0.6257,0.63137,-0.0657
721,0.59554,0.65062,-0.11186
722,0.49849,0.79128,-0.07617
723,0.63824,0.74467,-0.13348
724,0.65008,0.7939,-0.10498
725,0.65884,0.66687,-0.09536
726,0.46162,0.73582,-0.04937
727,0.62352,0.69538,-0.12476
728,0.54301,0.67847,-0.11573
729,0.54603,0.82781,-0.11513
730,0.48977,0.67402,-0.06296
731,0.60635,0.82847,-0.10293
732,0.506,0.86349,-0.05545
733,0.56677,0.87163,-0.07894
734,0.54898,0.64415,-0.07237
735,0.5765,0.71181,-0.15213
736,0.54792,0.76291,-0.12377
737,0.59409,0.78034,-0.14909
738,0.67652,0.72417,-0.0952
739,0.50303,0.72394,-0.10055
740,0.56639,0.63669,0.04802
741,0.57835,0.83555,-0.01508
742,0.67361,0.79098,0.00593
743,0.69424,0.75174,0.03592
744,0.63785,0.82935,-0.00416
745,0.62364,0.70231,0.00237
746,0.50714,0.70744,0.00826
747,0.60843,0.65013,0.01166
